_id,title,url,pub_date,price,area
ObjectId(585b8ba92514971a24fafb28),【图】缅甸维加斯网投-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2453455258x.htm,11-30,1000,"["" 北京"",""西城""]"
ObjectId(585b8ba92514972b6c5cf35d),【8图】iPadmini2WLAN16G星空灰-北京二手iPad平板电脑_iPad-赶集网,http://bj.ganji.com/ershoubijibendiannao/2462821504x.htm,12-06,1068,"["" 北京"",""海淀"",""中关村""]"
ObjectId(585b8baa2514972708f213d0),【15图】迎元旦大降价原装正品15年老店诚信经营苹果PRO+AIR小白-北京二手苹果笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2468580237x.htm,12-16,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8baa2514971a24fafb29),【转延庆一般纳税人商贸公司十万元版】-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2474217968x.htm,12-02,12,"["" 北京"",""朝阳""]"
ObjectId(585b8baa2514971b044bae96),【2图】显档次。正品行货。刚使1年。三年质保 。-北京二手戴尔笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2301519646x.htm,12-14,1500,"["" 北京"",""丰台""]"
ObjectId(585b8bab2514972b6c5cf35e),【春季高考后横街】-北京二手二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2481462194x.htm,12-07,236,"["" 北京"",""昌平"",""城北""]"
ObjectId(585b8bab2514972708f213d1),【15图】迎元旦大降价全系列IBMT440T430T420T410-北京二手联想ThinkPad笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2468578089x.htm,12-16,4688,"["" 北京"",""朝阳"",""呼家楼""]"
ObjectId(585b8bab2514971b044bae97),【笔记本95新HP】-北京二手笔记本电脑-赶集网,http://bj.ganji.com/ershoubijibendiannao/2476815210x.htm,12-22,500,"["" 北京"",""朝阳""]"
ObjectId(585b8bab2514971a24fafb2a),【3图】北京旗铃货车柴油-北京二手二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2447937360x.htm,12-01,32000,"["" 北京"",""大兴"",""西红门""]"
ObjectId(585b8bac2514971b044bae98),【8图】MACBOOK PRO 15寸-北京二手苹果二手笔记本-赶集网,http://bj.ganji.com/ershoubijibendiannao/2345921943x.htm,12-20,13000,"["" 北京"",""通州""]"
